class_id,target,target_super_group
941ed607bb13d564a92870912c79b474,"[{""_id"":""a4b3f38ba5a80bc0ccb9d7e2be728229"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SBI PO""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""4db3fc331f6c3cc1afcd4cb6938db9d0"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Banking Exams""},{""language"":""Hindi"",""value"":""""}]}]"
fd26d46f7361002216d3a40fb3504060,"[{""_id"":""a4b3f38ba5a80bc0ccb9d7e2be728229"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SBI PO""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""4db3fc331f6c3cc1afcd4cb6938db9d0"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Banking Exams""},{""language"":""Hindi"",""value"":""""}]}]"
5fb69b47a5fb89c8ed1832d006dd3198,"[{""_id"":""a4b3f38ba5a80bc0ccb9d7e2be728229"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SBI PO""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""4db3fc331f6c3cc1afcd4cb6938db9d0"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Banking Exams""},{""language"":""Hindi"",""value"":""""}]}]"
00ab07631696c897dfa6f037e1986ec5,"[{""_id"":""a4b3f38ba5a80bc0ccb9d7e2be728229"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SBI PO""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""4db3fc331f6c3cc1afcd4cb6938db9d0"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Banking Exams""},{""language"":""Hindi"",""value"":""""}]}]"
5e7c3b1dc2a713949b321e84c9f74875,"[{""_id"":""a4b3f38ba5a80bc0ccb9d7e2be728229"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SBI PO""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""4db3fc331f6c3cc1afcd4cb6938db9d0"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Banking Exams""},{""language"":""Hindi"",""value"":""""}]}]"
990c18615e7cc96f9c8bfb8843fe3074,"[{""_id"":""a4b3f38ba5a80bc0ccb9d7e2be728229"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SBI PO""},{""language"":""Hindi"",""value"":""""}]},{""_id"":""dc1fde03ccd13f16973f5360cb63f479"",""title"":[{""language"":""English"",""value"":""LIC AAO""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""4db3fc331f6c3cc1afcd4cb6938db9d0"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Banking Exams""},{""language"":""Hindi"",""value"":""""}]}]"
40da5c9ecda35006a3458363ddd766ff,"[{""_id"":""a4b3f38ba5a80bc0ccb9d7e2be728229"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SBI PO""},{""language"":""Hindi"",""value"":""""}]},{""_id"":""dc1fde03ccd13f16973f5360cb63f479"",""title"":[{""language"":""English"",""value"":""LIC AAO""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""4db3fc331f6c3cc1afcd4cb6938db9d0"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Banking Exams""},{""language"":""Hindi"",""value"":""""}]}]"
b6972c7e80fd9449ddccc7440f99d0d4,"[{""_id"":""a4b3f38ba5a80bc0ccb9d7e2be728229"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SBI PO""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""4db3fc331f6c3cc1afcd4cb6938db9d0"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Banking Exams""},{""language"":""Hindi"",""value"":""""}]}]"
c0603f74b65837ac04829e1ef44e0142,"[{""_id"":""21cde520a11aea91d3b0c222ee9f52a4"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SBI Clerk""},{""language"":""Hindi"",""value"":""""}]},{""_id"":""dc1fde03ccd13f16973f5360cb63f479"",""title"":[{""language"":""English"",""value"":""LIC AAO""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""4db3fc331f6c3cc1afcd4cb6938db9d0"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Banking Exams""},{""language"":""Hindi"",""value"":""""}]}]"
4771b6be3ebc18256967e13ae89fdebb,"[{""_id"":""21cde520a11aea91d3b0c222ee9f52a4"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SBI Clerk""},{""language"":""Hindi"",""value"":""""}]},{""_id"":""dc1fde03ccd13f16973f5360cb63f479"",""title"":[{""language"":""English"",""value"":""LIC AAO""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""4db3fc331f6c3cc1afcd4cb6938db9d0"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Banking Exams""},{""language"":""Hindi"",""value"":""""}]}]"
8772aad7bec32b654997d84d0aafb042,"[{""_id"":""21cde520a11aea91d3b0c222ee9f52a4"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SBI Clerk""},{""language"":""Hindi"",""value"":""""}]},{""_id"":""dc1fde03ccd13f16973f5360cb63f479"",""title"":[{""language"":""English"",""value"":""LIC AAO""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""4db3fc331f6c3cc1afcd4cb6938db9d0"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Banking Exams""},{""language"":""Hindi"",""value"":""""}]}]"
174550f1c2ad4247ba925b8996c66a44,"[{""_id"":""21cde520a11aea91d3b0c222ee9f52a4"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SBI Clerk""},{""language"":""Hindi"",""value"":""""}]},{""_id"":""dc1fde03ccd13f16973f5360cb63f479"",""title"":[{""language"":""English"",""value"":""LIC AAO""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""4db3fc331f6c3cc1afcd4cb6938db9d0"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Banking Exams""},{""language"":""Hindi"",""value"":""""}]}]"
dd3d5f861123c863da4180f0e68df15c,"[{""_id"":""21cde520a11aea91d3b0c222ee9f52a4"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SBI Clerk""},{""language"":""Hindi"",""value"":""""}]},{""_id"":""dc1fde03ccd13f16973f5360cb63f479"",""title"":[{""language"":""English"",""value"":""LIC AAO""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""4db3fc331f6c3cc1afcd4cb6938db9d0"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Banking Exams""},{""language"":""Hindi"",""value"":""""}]}]"
e46c8e4e08f7087ab2cc640f52609ece,"[{""_id"":""21cde520a11aea91d3b0c222ee9f52a4"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SBI Clerk""},{""language"":""Hindi"",""value"":""""}]},{""_id"":""938273f6322e14e3ae2ea70e96855a1f"",""title"":[{""language"":""English"",""value"":""RRC Group D""},{""language"":""Hindi"",""value"":""""}]},{""_id"":""ce93e65e281ffed2347769d363c25b70"",""title"":[{""language"":""English"",""value"":""RRB NTPC""},{""language"":""Hindi"",""value"":""""}]},{""_id"":""b81a8991dd18c0b47f6bc16c47dfa0ae"",""title"":[{""language"":""English"",""value"":""SSC CGL""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""4db3fc331f6c3cc1afcd4cb6938db9d0"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Banking Exams""},{""language"":""Hindi"",""value"":""""}]}]"
d9b87677d0fb669868d4af95ec65b5ad,"[{""_id"":""21cde520a11aea91d3b0c222ee9f52a4"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SBI Clerk""},{""language"":""Hindi"",""value"":""""}]},{""_id"":""938273f6322e14e3ae2ea70e96855a1f"",""title"":[{""language"":""English"",""value"":""RRC Group D""},{""language"":""Hindi"",""value"":""""}]},{""_id"":""ce93e65e281ffed2347769d363c25b70"",""title"":[{""language"":""English"",""value"":""RRB NTPC""},{""language"":""Hindi"",""value"":""""}]},{""_id"":""b81a8991dd18c0b47f6bc16c47dfa0ae"",""title"":[{""language"":""English"",""value"":""SSC CGL""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""4db3fc331f6c3cc1afcd4cb6938db9d0"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Banking Exams""},{""language"":""Hindi"",""value"":""""}]}]"
83d87dd8d42dd3215d61ef4096558464,"[{""_id"":""ce93e65e281ffed2347769d363c25b70"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""RRB NTPC""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""67bcbee6ffd1bf148fc2fb934d55f07e"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Railways Exams""},{""language"":""Hindi"",""value"":""""}]}]"
e53481d3aac8fa28fbe148a3c52b4981,"[{""_id"":""ce93e65e281ffed2347769d363c25b70"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""RRB NTPC""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""67bcbee6ffd1bf148fc2fb934d55f07e"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Railways Exams""},{""language"":""Hindi"",""value"":""""}]}]"
9ffcd66e83c87719d8940d599405bdf1,"[{""_id"":""ce93e65e281ffed2347769d363c25b70"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""RRB NTPC""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""67bcbee6ffd1bf148fc2fb934d55f07e"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Railways Exams""},{""language"":""Hindi"",""value"":""""}]}]"
dc0938912fbcb55f60c15dc6e1d8b588,"[{""_id"":""ce93e65e281ffed2347769d363c25b70"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""RRB NTPC""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""67bcbee6ffd1bf148fc2fb934d55f07e"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Railways Exams""},{""language"":""Hindi"",""value"":""""}]}]"
d73406337853c5f299c5103dcd83d950,"[{""_id"":""ce93e65e281ffed2347769d363c25b70"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""RRB NTPC""},{""language"":""Hindi"",""value"":""""}]},{""_id"":""b81a8991dd18c0b47f6bc16c47dfa0ae"",""title"":[{""language"":""English"",""value"":""SSC CGL""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""67bcbee6ffd1bf148fc2fb934d55f07e"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Railways Exams""},{""language"":""Hindi"",""value"":""""}]}]"
2f4dde5018d717540cc7b9bb7dd11d5a,"[{""_id"":""ce93e65e281ffed2347769d363c25b70"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""RRB NTPC""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""67bcbee6ffd1bf148fc2fb934d55f07e"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Railways Exams""},{""language"":""Hindi"",""value"":""""}]}]"
41f4576698fde7ed83bfad2dca26e936,"[{""_id"":""ce93e65e281ffed2347769d363c25b70"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""RRB NTPC""},{""language"":""Hindi"",""value"":""""}]},{""_id"":""b81a8991dd18c0b47f6bc16c47dfa0ae"",""title"":[{""language"":""English"",""value"":""SSC CGL""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""67bcbee6ffd1bf148fc2fb934d55f07e"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Railways Exams""},{""language"":""Hindi"",""value"":""""}]}]"
57c362fa44b9d38d4f7349e38f4dbb70,"[{""_id"":""ce93e65e281ffed2347769d363c25b70"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""RRB NTPC""},{""language"":""Hindi"",""value"":""""}]},{""_id"":""b81a8991dd18c0b47f6bc16c47dfa0ae"",""title"":[{""language"":""English"",""value"":""SSC CGL""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""67bcbee6ffd1bf148fc2fb934d55f07e"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Railways Exams""},{""language"":""Hindi"",""value"":""""}]}]"
5544c179fd0d221600cc0a041c16b03d,"[{""_id"":""b81a8991dd18c0b47f6bc16c47dfa0ae"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SSC CGL""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""e992109a17e84f458f34c1b888c23205"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SSC Exams""},{""language"":""Hindi"",""value"":""""}]}]"
6f82a10a670b0518a2cfa303b321e108,"[{""_id"":""b81a8991dd18c0b47f6bc16c47dfa0ae"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SSC CGL""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""e992109a17e84f458f34c1b888c23205"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SSC Exams""},{""language"":""Hindi"",""value"":""""}]}]"
ce5213d6c20a16932b65a2ffa4db7435,"[{""_id"":""b81a8991dd18c0b47f6bc16c47dfa0ae"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SSC CGL""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""e992109a17e84f458f34c1b888c23205"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SSC Exams""},{""language"":""Hindi"",""value"":""""}]}]"
8bc5f8c1f75ea5d0f7665b5775c6876a,"[{""_id"":""b81a8991dd18c0b47f6bc16c47dfa0ae"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SSC CGL""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""e992109a17e84f458f34c1b888c23205"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SSC Exams""},{""language"":""Hindi"",""value"":""""}]}]"
5351f41aa0ed6e413c791a8e5b0ae90c,"[{""_id"":""b81a8991dd18c0b47f6bc16c47dfa0ae"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SSC CGL""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""e992109a17e84f458f34c1b888c23205"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SSC Exams""},{""language"":""Hindi"",""value"":""""}]}]"
4fcb3923f309447eb29255097647832e,"[{""_id"":""b81a8991dd18c0b47f6bc16c47dfa0ae"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SSC CGL""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""e992109a17e84f458f34c1b888c23205"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SSC Exams""},{""language"":""Hindi"",""value"":""""}]}]"
3bbe5a030a33eabd1cea0c460c9d0e8f,"[{""_id"":""b81a8991dd18c0b47f6bc16c47dfa0ae"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SSC CGL""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""e992109a17e84f458f34c1b888c23205"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""SSC Exams""},{""language"":""Hindi"",""value"":""""}]}]"
98c75efd6fbbab47030072b8c3eb72fa,"[{""_id"":""938273f6322e14e3ae2ea70e96855a1f"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""RRC Group D""},{""language"":""Hindi"",""value"":""""}]},{""_id"":""b81a8991dd18c0b47f6bc16c47dfa0ae"",""title"":[{""language"":""English"",""value"":""SSC CGL""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""67bcbee6ffd1bf148fc2fb934d55f07e"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Railways Exams""},{""language"":""Hindi"",""value"":""""}]}]"
9f2637561971b632fc56d62831fae561,"[{""_id"":""938273f6322e14e3ae2ea70e96855a1f"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""RRC Group D""},{""language"":""Hindi"",""value"":""""}]},{""_id"":""b81a8991dd18c0b47f6bc16c47dfa0ae"",""title"":[{""language"":""English"",""value"":""SSC CGL""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""67bcbee6ffd1bf148fc2fb934d55f07e"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Railways Exams""},{""language"":""Hindi"",""value"":""""}]}]"
a29aa2a2daaf93193ddd6e109332043c,"[{""_id"":""938273f6322e14e3ae2ea70e96855a1f"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""RRC Group D""},{""language"":""Hindi"",""value"":""""}]},{""_id"":""b81a8991dd18c0b47f6bc16c47dfa0ae"",""title"":[{""language"":""English"",""value"":""SSC CGL""},{""language"":""Hindi"",""value"":""""}]}]","[{""_id"":""67bcbee6ffd1bf148fc2fb934d55f07e"",""isPrimary"":true,""title"":[{""language"":""English"",""value"":""Railways Exams""},{""language"":""Hindi"",""value"":""""}]}]"
